16,10,16,29
32,20,32,40
64,42,64,106
128,81,128,195
256,174,256,369
512,314,512,779
1024,606,1024,1550
2048,1235,2048,3000
4096,2330,4096,5970
8192,4528,8192,10771
16384,8086,16384,17859
32768,12146,32768,21984
65536,37269,65536,52894
