16,0.859375,16,0.843750
32,0.912500,32,0.937500
64,0.958333,64,1.052083
128,0.963170,128,0.963170
256,1.087402,256,1.183105
512,1.070313,512,1.141927
1024,1.191992,1024,1.122266
2048,1.148659,2048,1.220348
4096,1.205566,4096,1.272624
8192,1.158954,8192,1.157170
16384,1.194798,16384,1.189061
32768,1.178965,32768,1.261114
65536,1.217082,65536,1.308085
